2.36372s 2 RttEstimator:Measurement(0x7faf0a4711e0, +453151902.0ns)
2.37296s 2 RttEstimator:Measurement(0x7faf0a4711e0, +453151902.0ns)
2.38221s 2 RttEstimator:Measurement(0x7faf0a4711e0, +462399900.0ns)
2.39146s 2 RttEstimator:Measurement(0x7faf0a4711e0, +462399900.0ns)
2.40071s 2 RttEstimator:Measurement(0x7faf0a4711e0, +462399900.0ns)
2.40996s 2 RttEstimator:Measurement(0x7faf0a4711e0, +471647898.0ns)
2.4192s 2 RttEstimator:Measurement(0x7faf0a4711e0, +471647898.0ns)
2.42845s 2 RttEstimator:Measurement(0x7faf0a4711e0, +471647898.0ns)
2.4377s 2 RttEstimator:Measurement(0x7faf0a4711e0, +480895896.0ns)
2.44695s 2 RttEstimator:Measurement(0x7faf0a4711e0, +480895896.0ns)
2.4562s 2 RttEstimator:Measurement(0x7faf0a4711e0, +480895896.0ns)
2.46544s 2 RttEstimator:Measurement(0x7faf0a4711e0, +490143894.0ns)
2.47469s 2 RttEstimator:Measurement(0x7faf0a4711e0, +490143894.0ns)
2.48394s 2 RttEstimator:Measurement(0x7faf0a4711e0, +490143894.0ns)
2.49319s 2 RttEstimator:Measurement(0x7faf0a4711e0, +499391892.0ns)
2.50244s 2 RttEstimator:Measurement(0x7faf0a4711e0, +499391892.0ns)
2.51168s 2 RttEstimator:Measurement(0x7faf0a4711e0, +499391892.0ns)
2.52093s 2 RttEstimator:Measurement(0x7faf0a4711e0, +508639890.0ns)
2.53018s 2 RttEstimator:Measurement(0x7faf0a4711e0, +508639890.0ns)
2.53943s 2 RttEstimator:Measurement(0x7faf0a4711e0, +508639890.0ns)
2.54868s 2 RttEstimator:Measurement(0x7faf0a4711e0, +517887888.0ns)
2.55792s 2 RttEstimator:Measurement(0x7faf0a4711e0, +517887888.0ns)
2.56717s 2 RttEstimator:Measurement(0x7faf0a4711e0, +517887888.0ns)
2.57642s 2 RttEstimator:Measurement(0x7faf0a4711e0, +527135886.0ns)
2.58567s 2 RttEstimator:Measurement(0x7faf0a4711e0, +527135886.0ns)
2.59492s 2 RttEstimator:Measurement(0x7faf0a4711e0, +527135886.0ns)
2.60416s 2 RttEstimator:Measurement(0x7faf0a4711e0, +536383884.0ns)
2.61341s 2 RttEstimator:Measurement(0x7faf0a4711e0, +536383884.0ns)
2.62266s 2 RttEstimator:Measurement(0x7faf0a4711e0, +536383884.0ns)
2.63191s 2 RttEstimator:Measurement(0x7faf0a4711e0, +545631882.0ns)
2.64116s 2 RttEstimator:Measurement(0x7faf0a4711e0, +545631882.0ns)
2.6504s 2 RttEstimator:Measurement(0x7faf0a4711e0, +545631882.0ns)
2.65965s 2 RttEstimator:Measurement(0x7faf0a4711e0, +554879880.0ns)
2.6689s 2 RttEstimator:Measurement(0x7faf0a4711e0, +554879880.0ns)
2.67815s 2 RttEstimator:Measurement(0x7faf0a4711e0, +554879880.0ns)
2.6874s 2 RttEstimator:Measurement(0x7faf0a4711e0, +564127878.0ns)
2.69664s 2 RttEstimator:Measurement(0x7faf0a4711e0, +564127878.0ns)
3.33574s 2 RttEstimator:Measurement(0x7faf0a4711e0, +79588955.0ns)
3.41533s 2 RttEstimator:Measurement(0x7faf0a4711e0, +79588955.0ns)
3.49029s 2 RttEstimator:Measurement(0x7faf0a4711e0, +154553911.0ns)
3.49954s 2 RttEstimator:Measurement(0x7faf0a4711e0, +84212954.0ns)
3.56988s 2 RttEstimator:Measurement(0x7faf0a4711e0, +79588955.0ns)
3.57913s 2 RttEstimator:Measurement(0x7faf0a4711e0, +88836953.0ns)
3.58838s 2 RttEstimator:Measurement(0x7faf0a4711e0, +88836953.0ns)
3.64947s 2 RttEstimator:Measurement(0x7faf0a4711e0, +79588955.0ns)
3.65872s 2 RttEstimator:Measurement(0x7faf0a4711e0, +88836953.0ns)
3.66796s 2 RttEstimator:Measurement(0x7faf0a4711e0, +88836953.0ns)
3.67721s 2 RttEstimator:Measurement(0x7faf0a4711e0, +88836953.0ns)
3.72443s 2 RttEstimator:Measurement(0x7faf0a4711e0, +136057915.0ns)
3.73368s 2 RttEstimator:Measurement(0x7faf0a4711e0, +84212954.0ns)
3.74293s 2 RttEstimator:Measurement(0x7faf0a4711e0, +84212954.0ns)
3.75218s 2 RttEstimator:Measurement(0x7faf0a4711e0, +93460952.0ns)
3.76143s 2 RttEstimator:Measurement(0x7faf0a4711e0, +93460952.0ns)
3.77067s 2 RttEstimator:Measurement(0x7faf0a4711e0, +93460952.0ns)
3.7994s 2 RttEstimator:Measurement(0x7faf0a4711e0, +122185918.0ns)
3.80865s 2 RttEstimator:Measurement(0x7faf0a4711e0, +84212954.0ns)
3.81789s 2 RttEstimator:Measurement(0x7faf0a4711e0, +84212954.0ns)
3.82714s 2 RttEstimator:Measurement(0x7faf0a4711e0, +93460952.0ns)
3.83639s 2 RttEstimator:Measurement(0x7faf0a4711e0, +93460952.0ns)
3.84564s 2 RttEstimator:Measurement(0x7faf0a4711e0, +93460952.0ns)
3.85489s 2 RttEstimator:Measurement(0x7faf0a4711e0, +102708950.0ns)
3.86413s 2 RttEstimator:Measurement(0x7faf0a4711e0, +102708950.0ns)
3.87338s 2 RttEstimator:Measurement(0x7faf0a4711e0, +102708950.0ns)
3.88263s 2 RttEstimator:Measurement(0x7faf0a4711e0, +111956948.0ns)
3.89188s 2 RttEstimator:Measurement(0x7faf0a4711e0, +92479980.0ns)
3.90113s 2 RttEstimator:Measurement(0x7faf0a4711e0, +92479980.0ns)
3.91037s 2 RttEstimator:Measurement(0x7faf0a4711e0, +101727978.0ns)
3.91962s 2 RttEstimator:Measurement(0x7faf0a4711e0, +101727978.0ns)
3.92887s 2 RttEstimator:Measurement(0x7faf0a4711e0, +101727978.0ns)
3.93812s 2 RttEstimator:Measurement(0x7faf0a4711e0, +110975976.0ns)
