% time	cellId	IMSI	RNTI	sinrLinear
22.001	1	1	1	30.5508
22.041	1	1	1	45.9157
22.081	1	1	1	54.3853
22.121	1	1	1	48.5434
22.161	1	1	1	55.1914
22.201	1	1	1	65.7222
22.241	1	1	1	53.05
22.281	1	1	1	28.2727
22.321	1	1	1	52.3751
22.361	1	1	1	64.5857
22.401	1	1	1	28.1233
22.441	1	1	1	14.8253
22.481	1	1	1	21.1341
22.521	1	1	1	19.9023
22.561	1	1	1	18.8436
22.601	1	1	1	21.4724
22.641	1	1	1	10.9813
22.681	1	1	1	8.4912
22.721	1	1	1	35.9514
22.761	1	1	1	33.8155
22.801	1	1	1	13.8534
22.841	1	1	1	45.9134
22.881	1	1	1	69.4232
22.921	1	1	1	31.3244
22.961	1	1	1	25.1323
23.001	1	1	1	61.3556
23.041	1	1	1	67.8619
23.081	1	1	1	41.6907
23.121	1	1	1	4.27896
23.161	1	1	1	31.5145
23.201	1	1	1	44.0751
23.241	1	1	1	9.19795
23.281	1	1	1	10.8189
23.321	1	1	1	4.50506
23.361	1	1	1	7.18596
23.401	1	1	1	8.74144
23.441	1	1	1	17.5009
23.481	1	1	1	71.1029
23.521	1	1	1	118.478
23.561	1	1	1	65.6579
23.601	1	1	1	7.76109
23.641	1	1	1	69.489
23.681	1	1	1	44.2931
23.721	1	1	1	3.03911
23.761	1	1	1	56.652
23.801	1	1	1	38.0462
23.841	1	1	1	2.475
23.881	1	1	1	21.8194
23.921	1	1	1	27.1294
23.961	1	1	1	52.7144
24.001	1	1	1	1.95124
24.041	1	1	1	22.6453
24.081	1	1	1	44.8951
24.121	1	1	1	19.8179
24.161	1	1	1	9.55384
24.201	1	1	1	16.1143
24.241	1	1	1	24.0608
24.281	1	1	1	40.4964
24.321	1	1	1	36.1621
24.361	1	1	1	23.3035
24.401	1	1	1	20.548
24.441	1	1	1	17.2285
24.481	1	1	1	12.5066
24.521	1	1	1	51.3168
24.561	1	1	1	26.1712
24.601	1	1	1	10.8371
24.641	1	1	1	39.5725
24.681	1	1	1	38.7777
24.721	1	1	1	3.55929
24.761	1	1	1	28.5609
24.801	1	1	1	53.7528
24.841	1	1	1	20.2709
24.881	1	1	1	21.4935
24.921	1	1	1	31.8181
24.961	1	1	1	19.3618
25.001	1	1	1	42.8631
25.041	1	1	1	34.4268
25.081	1	1	1	28.4459
25.121	1	1	1	26.2863
25.161	1	1	1	3.56336
25.201	1	1	1	12.5108
25.241	1	1	1	22.471
25.281	1	1	1	12.0108
25.321	1	1	1	9.04867
25.361	1	1	1	3.59559
25.401	1	1	1	1.98356
25.441	1	1	1	16.5875
25.481	1	1	1	27.594
25.521	1	1	1	45.6903
25.561	1	1	1	83.2768
25.601	1	1	1	37.5627
25.641	1	1	1	36.1285
25.681	1	1	1	13.7631
25.721	1	1	1	23.987
25.761	1	1	1	40.9843
25.801	1	1	1	17.0042
25.841	1	1	1	55.2621
25.881	1	1	1	38.2681
25.921	1	1	1	12.1768
25.961	1	1	1	34.4472
26.001	1	1	1	72.0921
26.041	1	1	1	2.546
26.081	1	1	1	62.1418
26.121	1	1	1	29.5504
26.161	1	1	1	58.4119
26.201	1	1	1	287.096
